item,title,genres,ratings
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,3.5
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,4.5
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,4.5
541,Blade Runner (1982),Action|Sci-Fi|Thriller,3.5
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,5
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,3.5
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,3
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,3.5
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,4
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,4
1968,"Breakfast Club, The (1985)",Comedy|Drama,4.5
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,4
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,3.5
2918,Ferris Bueller's Day Off (1986),Comedy,4
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,4.5
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,4
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,5
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,4.5
1923,There's Something About Mary (1998),Comedy|Romance,4
68954,Up (2009),Adventure|Animation|Children|Drama,5
39,Clueless (1995),Comedy|Romance,4.5
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,4.5
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy,4.5
4022,Cast Away (2000),Drama,4.5
44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX,3.5
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,3.5
6365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX,2
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,4
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX,4
5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX,3.5
2791,Airplane! (1980),Comedy,4.5
1307,When Harry Met Sally... (1989),Comedy|Romance,4.5
1393,Jerry Maguire (1996),Drama|Romance,4
2291,Edward Scissorhands (1990),Drama|Fantasy|Romance,4.5
1247,"Graduate, The (1967)",Comedy|Drama|Romance,3
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi,2
6711,Lost in Translation (2003),Comedy|Drama|Romance,3.5
109487,Interstellar (2014),Sci-Fi|IMAX,3
40815,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX,5
2985,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller,2
2081,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,5
4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance,4
56367,Juno (2007),Comedy|Drama|Romance,5
4447,Legally Blonde (2001),Comedy|Romance,3.5
1035,"Sound of Music, The (1965)",Musical|Romance,4.5
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy,4
30793,Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX,4
2006,"Mask of Zorro, The (1998)",Action|Comedy|Romance,2
54001,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX,5
69844,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX,5
2005,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,5
2671,Notting Hill (1999),Comedy|Romance,4.5
1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,5
1777,"Wedding Singer, The (1998)",Comedy|Romance,4
4308,Moulin Rouge (2001),Drama|Musical|Romance,5
78499,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,4.5
